       Start Station Id  End Station Id  Count
6594               7108          7097.0      9
8530               7160          7160.0      9
16857              7416          7033.0      9
3172               7041          7047.0      9
2268               7030          7047.0      9
14890              7334          7022.0      9
9879               7199          7263.0      9
12343              7260          7260.0      8
489                7006          7502.0      8
7343               7123          7033.0      8
8887               7168          7203.0      8
21804              7685          7033.0      8
23215              7757          7033.0      8
11876              7252          7246.0      8
19782              7542          7542.0      8
23452              7766          7204.0      8
13454              7281          7264.0      8
11919              7253          7015.0      8
19145              7523          7176.0      8
18037              7462          7542.0      8
5591               7079          7418.0      8
1531               7022          7217.0      8
10580              7216          7123.0      8
22328              7706          7706.0      8
17239              7432          7015.0      8
461                7006          7281.0      8
2246               7030          7002.0      8
8773               7164          7028.0      8
8384               7155          7199.0      8
2936               7038          7065.0      8
5065               7073          7203.0      8
22571              7713          7816.0      8
11218              7239          7252.0      8
2550               7033          7047.0      8
8157               7149          7153.0      8
10322              7207          7298.0      8
3641               7045          7798.0      8
15341              7354          7354.0      8
14661              7324          7682.0      8
8232               7151          7153.0      8
1087               7016          7299.0      8
373                7006          7007.0      8
2628               7033          7432.0      8
2837               7037          7038.0      8
6682               7109          7660.0      8
17481              7441          7415.0      8
1929               7027          7007.0      8
2650               7033          7682.0      8
3433               7044          7034.0      8
23195              7753          7556.0      8
5212               7076          7076.0      8
2257               7030          7021.0      8
18369              7474          7274.0      8
2659               7033          7720.0      8
11441              7245          7256.0      8
22309              7706          7090.0      7
14737              7329          7207.0      7
4733               7065          7100.0      7
8033               7144          7151.0      7
2535               7033          7022.0      7
11992              7253          7467.0      7
11185              7239          7078.0      7
18094              7467          7000.0      7
3953               7049          7257.0      7
2629               7033          7443.0      7
22833              7720          7015.0      7
1061               7016          7100.0      7
2568               7033          7099.0      7
15598              7366          7298.0      7
11586              7246          7810.0      7
18960              7506          7462.0      7
23890              7790          7033.0      7
22088              7693          7599.0      7
2570               7033          7101.0      7
11563              7246          7418.0      7
13866              7291          7462.0      7
2672               7033          7906.0      7
23733              7772          7467.0      7
14619              7324          7202.0      7
11160              7238          7238.0      7
938                7014          7432.0      7
8302               7153          7204.0      7
2928               7038          7042.0      7
601                7007          7418.0      7
20526              7576          7333.0      7
20529              7576          7356.0      7
5300               7076          7788.0      7
21347              7662          7148.0      7
23556              7768          7768.0      7
7618               7129          7143.0      7
1473               7022          7000.0      7
4794               7065          7761.0      7
5259               7076          7399.0      7
3922               7049          7046.0      7
13527              7283          7432.0      7
409                7006          7089.0      7
14818              7333          7108.0      7
14858              7333          7432.0      7
2314               7030          7253.0      7
2313               7030          7248.0      7
4972               7072          7072.0      7
5478               7078          7248.0      7
686                7009          7108.0      7
2256               7030          7020.0      7
21670              7682          7102.0      7
21519              7668          7668.0      7
6095               7100          7065.0      7
10114              7204          7207.0      7
16528              7399          7099.0      7
10521              7211          7211.0      7
6306               7102          7260.0      7
19357              7530          7034.0      7
16527              7399          7076.0      7
13368              7280          7263.0      7
6620               7108          7356.0      7
783                7012          7027.0      7
24210              7802          7496.0      7
22511              7713          7033.0      7
6932               7114          7271.0      7
6348               7102          7770.0      7
500                7006          7596.0      7
10489              7211          7000.0      7
6908               7114          7089.0      7
19446              7533          7260.0      7
12427              7261          7203.0      7
16983              7418          7027.0      7
24148              7796          7570.0      7
103                7001          7042.0      7
16984              7418          7028.0      7
17031              7418          7246.0      7
24167              7798          7045.0      7
10304              7207          7199.0      7
17006              7418          7078.0      7
12923              7271          7044.0      7
9871               7199          7239.0      7
22929              7720          7720.0      7
9211               7178          7178.0      7
18130              7467          7216.0      7
19735              7542          7208.0      7
1584               7022          7542.0      7
13470              7281          7418.0      7
24302              7810          7810.0      7
16841              7415          7441.0      7
6079               7100          7015.0      7
19693              7542          7038.0      7
10030              7203          7076.0      7
12054              7256          7160.0      7
13951              7292          7577.0      7
9242               7180          7237.0      7
5862               7093          7095.0      7
16744              7411          7076.0      7
5598               7079          7542.0      7
17265              7432          7089.0      7
16880              7416          7260.0      7
7101               7118          7076.0      7
11508              7246          7079.0      6
3991               7049          7720.0      6
10275              7207          7037.0      6
23029              7724          7001.0      6
3527               7045          7012.0      6
11504              7246          7063.0      6
20150              7549          7263.0      6
2719               7034          7264.0      6
14644              7324          7417.0      6
4232               7054          7721.0      6
9203               7176          7887.0      6
3534               7045          7033.0      6
8042               7144          7627.0      6
3538               7045          7041.0      6
4225               7054          7533.0      6
533                7007          7007.0      6
4217               7054          7321.0      6
4973               7072          7076.0      6
23033              7724          7033.0      6
554                7007          7089.0      6
532                7007          7006.0      6
2667               7033          7816.0      6
1001               7015          7324.0      6
23042              7724          7100.0      6
3436               7044          7042.0      6
22588              7716          7059.0      6
22930              7720          7721.0      6
19563              7536          7248.0      6
4532               7061          7032.0      6
13661              7285          7250.0      6
412                7006          7102.0      6
10614              7216          7536.0      6
8707               7163          7055.0      6
19138              7523          7112.0      6
889                7013          7906.0      6
14248              7309          7761.0      6
3810               7047          7367.0      6
13957              7292          7693.0      6
457                7006          7272.0      6
18720              7496          7183.0      6
19694              7542          7041.0      6
10756              7221          7581.0      6
19755              7542          7298.0      6
8549               7160          7256.0      6
18146              7467          7366.0      6
18907              7505          7505.0      6
4112               7052          7685.0      6
10306              7207          7204.0      6
11132              7237          7180.0      6
3458               7044          7163.0      6
3453               7044          7119.0      6
9886               7199          7285.0      6
14044              7298          7176.0      6
18104              7467          7045.0      6
2868               7037          7207.0      6
14440              7321          7006.0      6
494                7006          7545.0      6
2919               7038          7027.0      6
4479               7059          7321.0      6
2925               7038          7038.0      6
19897              7545          7006.0      6
9872               7199          7240.0      6
3360               7043          7022.0      6
663                7009          7009.0      6
8882               7168          7168.0      6
11100              7236          7388.0      6
3343               7042          7577.0      6
8624               7161          7542.0      6
22839              7720          7033.0      6
1128               7017          7015.0      6
5276               7076          7533.0      6
16898              7416          7533.0      6
16566              7399          7398.0      6
12780              7269          7033.0      6
24175              7798          7104.0      6
5825               7090          7706.0      6
25237              7912          7912.0      6
7418               7124          7103.0      6
